Year,Month,Total,南投縣,台中市,台北市,台南市,台東縣,嘉義市,嘉義縣,基隆市,宜蘭縣,屏東縣,彰化縣,新北市,新竹市,新竹縣,桃園市,澎湖縣,花蓮縣,苗栗縣,連江縣,金門縣,雲林縣,高雄市
1982,1,62.80427835908221,0.7462887054080917,8.49729416678848,4.224794748762191,8.137556397598507,0.23143949654158458,0.28296005318807477,0.7236738360635528,0.3522077299483539,0.9644235805141729,1.2550481395708897,3.093855435659327,5.369266410142984,2.8191279347458926,3.3305321403004537,8.726826690871512,0.10382206742954375,0.6853850938321345,2.2122750691922897,0.01925148076186081,0.07005954329141006,1.6169637669110686,9.341225871559768
1982,2,57.059320588273366,0.7237898535497251,7.682817747309425,3.776569096947209,7.36336670912556,0.2280523042332281,0.2638232560069201,0.6521766454245431,0.3555889541846153,0.8551354392883987,1.127533951904934,2.8007404746359423,4.904159656911268,2.65565478536359,3.109254663143124,7.957024508654211,0.08893895089675716,0.6586375487985896,1.97633139561361,0.01717927072449317,0.06093445458656706,1.4934216292074909,8.308189291763103
1982,3,59.79257203447088,0.7225643804700922,8.187603953193598,3.905463392249278,7.803126146671521,0.21811824162252125,0.2661316452826279,0.7121991400443322,0.33286788971844616,0.9077601790528474,1.1813919343232733,2.995088446132484,5.037097827600369,2.617762165060928,3.1586760715457256,8.27794894960483,0.09654335746045822,0.6422261360011662,2.143064662574407,0.016782277358802025,0.06747736683566241,1.5579113568738616,8.944766514793589
1982,4,61.1579423549892,0.7815685936835428,8.304957625411767,4.02623664739823,7.992519538862603,0.23754718804990332,0.27996914307816273,0.7299744085425213,0.3683835070621448,0.9076931705363323,1.1989809853012687,3.077293550025602,5.149550201700905,2.7165291497699946,3.2854775314544207,8.545845228037512,0.09423975711994385,0.6796746790557531,2.171892862791018,0.01531557353651163,0.06572385231666843,1.629469513285322,8.899099647969011
1982,5,67.4266806770719,0.8023581083674638,9.1949417321303,4.718116977750932,8.74759907089425,0.2524488572371647,0.3274039939417263,0.8381013202858134,0.3763528780838929,0.9744326907573005,1.3854018458741841,3.3540086352482748,5.8040278086905674,2.995916888163137,3.54856159455452,9.07272014770929,0.11851870852136795,0.7291100632079072,2.3276593312063194,0.018262391661874464,0.08343676275096178,1.7864482074293762,9.970852662605205
1982,6,65.68505386161316,0.8380158766272089,8.883173891208743,4.746512455116601,8.459091952586562,0.2658402786131314,0.3305553646692274,0.8027594654202835,0.40469329972715345,0.9509253443486272,1.3347971773130307,3.3532213421129327,5.751695707351694,2.8905384327721975,3.508367548752338,9.01323132796305,0.11164546024948019,0.714807829507442,2.177653917959917,0.017300181826851474,0.07954157978861419,1.7912443699866123,9.259441057711388
1982,7,65.06441461262976,0.75492823717928,8.817886619236937,5.0187090524199265,8.17820664162442,0.25945685510621896,0.3386100046426266,0.8171959835483075,0.3988818623649913,0.975298994746184,1.3483430686112348,3.1740926227803197,6.0893190268631034,2.851788289316702,3.375607184135629,8.605296151984033,0.1296614150259472,0.707830020798381,2.177452619999015,0.01933373347430134,0.09049464320586142,1.6773406478882658,9.258680937678013
1982,8,62.23770234880107,0.7676678196384208,8.39009485395584,4.813258649694195,7.806863383759909,0.2600009099681226,0.3206313378090739,0.7648731495165445,0.41749955157004315,0.9510372838972991,1.23487363603609,3.148080767298336,5.9138126977972485,2.675684107508633,3.243453134747917,8.49867782806867,0.11526896284078499,0.6741058100446174,2.039840273019787,0.018682171723771856,0.08289198906574301,1.5881727751938584,8.512231255646098
1982,9,65.73123693343484,0.7637637053419742,8.890730617180438,5.301628624118435,7.995491645236614,0.2645498841527216,0.348546345322518,0.8100397299699293,0.44038389173035875,1.0056701384063291,1.3185471373019209,3.2318137802673426,6.626745541459763,2.854977744622717,3.320760150623142,8.7013334542467,0.1339980278627116,0.7090033402382995,2.159278335271858,0.02121301239847287,0.09697083535351336,1.692299708668458,9.043491283660554
1982,10,68.31922303791204,0.8731161491101875,9.39707236430108,5.079378316948876,8.620108729958886,0.27959772596728477,0.3504534947218788,0.8270215380004915,0.4638692844358382,1.0337705613348236,1.3333240880522916,3.45636471385714,6.4101707521923315,2.8915973964210595,3.5599493196228837,9.205241771104642,0.11799677333000456,0.753780496465989,2.2319959014476565,0.019964645268966005,0.08672152125435717,1.7713105820878676,9.55641691202744
1982,11,61.69186162080935,0.7328891734807937,8.583196610670035,4.392803967323397,7.812015081780976,0.23485249001789524,0.31206650557608,0.8018705334616446,0.3598590646792961,0.9090627139499182,1.2804214876702187,3.1117210844535554,5.568347684014179,2.7389824921311625,3.067062376321314,8.060983930013203,0.11102315959518903,0.6669079060109377,2.0666869210918195,0.01729079149176032,0.0783891800577235,1.6406975749189416,9.14473089209924
1982,12,71.79089344205511,0.9238514247173968,10.08782870331386,4.695838705678569,9.34802472691436,0.27517621994708963,0.3295657921962693,0.8963241224610029,0.424585208886364,1.0768643592259632,1.4286695787286938,3.6669735270702706,6.082251819129094,3.1772412954671654,3.7478591121574767,9.881372958833389,0.10890333990702059,0.8188427603721411,2.419930988116129,0.018070634714364382,0.07286462197019415,1.8655181719691032,10.444335370279116
1983,1,67.94179966424083,0.8073366653754657,9.192389851194564,4.57039199908907,8.803226034539865,0.250371743554916,0.30610679055776613,0.7828718591986497,0.3810190705998799,1.0433154928927284,1.357713713084788,3.3469391120980934,5.808483659044038,3.049738706280308,3.602976657949369,9.440699053077093,0.11231493781426878,0.7414510228401233,2.3932439152927567,0.0208262867363217,0.07579056406419322,1.749234832290359,10.105357696666145
